idExterne;nom;exploitant;latitude;longitude;couleur;couleurEvolution;vCreation;vMaj;vSuppression
44637;Reuilly - Diderot;RATP;48.8473545169;2.38680844578;2;1;13;107;0
42582;Château de Vincennes;RATP;48.8444563946;2.44043997806;3;7;13;107;0
43157;Mantes-la-Jolie;SNCF;48.9895025071;1.70301613419;4;3;13;107;0
47925;Breuillet - Bruyères-le-Châtel;SNCF;48.5775084903;2.19206307147;5;1;13;107;0
47959;Tacoignières - Richebourg;SNCF;48.8294290162;1.6690101627;6;5;13;107;0
44481;Pont de Sèvres;RATP;48.8296748438;2.23079959132;7;5;13;107;0
43142;La Ferté-Alais;SNCF;48.4849573763;2.35185842143;0;6;13;107;0
53783;Chatou - Croissy;RATP;48.8852112182;2.15590347462;1;7;13;107;0
43068;Arpajon;SNCF;48.5860078908;2.24107007819;2;1;13;107;0
43156;Maisse;SNCF;48.3936415468;2.39341072138;3;1;13;107;0
46983;Rosny-sur-Seine;SNCF;48.9973920018;1.63016762727;4;3;13;107;0
46832;Gazeran;SNCF;48.6259908189;1.77169568576;5;4;13;107;0
47894;Crécy-la-Chapelle;SNCF;48.8595573169;2.90573696319;6;7;13;103;0
46736;Dammartin - Juilly - Saint-Mard;SNCF;49.0325740905;2.69945308782;7;2;13;107;0
47205;Guérard - La Celle-sur-Morin;SNCF;48.8107753209;2.95373038446;0;2;13;107;0
44371;Place d'Italie;RATP;48.8309953013;2.35583489797;1;7;13;107;0
47199;Faremoutiers - Pommeuse;SNCF;48.8086539649;2.99310989342;2;7;13;107;0
43247;Marles-en-Brie;SNCF;48.7349392965;2.86895583008;3;1;13;107;0
47942;Mortcerf;SNCF;48.7894966769;2.90738727173;4;7;13;107;0
42871;Dupleix;RATP;48.8504345508;2.29361243444;5;4;13;107;0
43498;Kléber;RATP;48.8716497691;2.29352429034;6;4;13;107;0
45417;Passy;RATP;48.857448691;2.28581244413;7;4;13;107;0
44069;Malakoff - Rue Étienne Dolet;RATP;48.8153075321;2.29707779696;0;1;13;107;0
43246;La Ferté-sous-Jouarre;SNCF;48.9508199876;3.12490902211;1;6;13;107;0
43969;Mairie de Saint-Ouen;RATP;48.9119648979;2.33392489048;2;6;13;107;0
45234;Cour Saint-Émilion;RATP;48.8333385593;2.38663240207;3;5;13;107;0
42447;Carrefour Pleyel;RATP;48.9195730722;2.34330592781;4;7;13;107;0
43148;Lagny - Thorigny;SNCF;48.8821891376;2.70601418112;5;3;13;107;0
44867;Saint-Georges;RATP;48.8784252594;2.33759508007;6;3;13;107;0
44609;Rennes;RATP;48.8484578485;2.32778212715;7;5;13;107;0
43152;Lognes (Le Mandinet);RATP;48.8392192991;2.63321091751;0;6;13;107;0
43814;Liège;RATP;48.8796347607;2.32702220089;1;6;13;107;0
43310;Grands Boulevards (Rue Montmartre);RATP;48.8714977394;2.34315477308;2;4;13;107;0
45100;Bonne Nouvelle;RATP;48.8701642009;2.35049797186;3;1;13;107;0
47891;Fort d'Aubervilliers;RATP;48.9149497573;2.40440908878;4;0;13;107;0
44579;Pyramides;RATP;48.8657611028;2.33442748591;5;6;13;107;0
42461;Censier - Daubenton;RATP;48.8404866526;2.35173948717;6;7;13;107;0
43409;La Tour Maubourg;RATP;48.8577254129;2.31056596095;7;2;13;107;0
42885;École Militaire;RATP;48.8546821569;2.3060974037;0;7;13;107;0
42583;Château-Landon;RATP;48.8785656258;2.36216007056;1;7;13;107;0
44057;Maison Blanche;RATP;48.8224378319;2.35847388389;2;0;13;107;0
45165;Poissonnière;RATP;48.8772363191;2.34929390111;3;7;13;107;0
43196;Saint-Cloud;SNCF;48.8461029486;2.21762108089;4;7;13;107;0
43172;Neuilly-Plaisance;RATP;48.853485713;2.51382529103;5;6;13;107;0
51238;Bois-Colombes;SNCF;48.9142464743;2.27159875039;6;3;13;107;0
43171;Nanterre-Ville;RATP;48.8951258913;2.19536398691;7;5;13;107;0
43227;Les Ardoines;SNCF;48.7825054355;2.4095416551;0;4;13;107;0
43176;Pantin;SNCF;48.8981123054;2.40036170181;1;7;13;107;0
54249;Les Clairières de Verneuil;SNCF;48.9926138816;1.95547924753;2;4;13;107;0
44602;Versailles Rive Droite;SNCF;48.809482263;2.13508745661;3;1;13;107;0
47447;Conflans-Sainte-Honorine;SNCF;48.9966300907;2.09777398846;4;7;13;107;0
43245;Nemours - Saint-Pierre;SNCF;48.2677581063;2.68564709266;5;1;13;107;0
47915;Achères - Grand-Cormier;SNCF;48.9554022445;2.09352190295;6;3;13;107;0
43144;La Grande-Paroisse;SNCF;48.3787957617;2.89720178188;7;1;13;107;0
43192;Savigny-Sur-Orge;SNCF;48.676446657;2.35248140105;0;3;13;107;0
43167;Montreuil;SNCF;48.806377449;2.15150011465;1;2;13;107;0
47961;Thomery;SNCF;48.3943084388;2.76402818744;2;1;13;107;0
47145;Héricy;SNCF;48.4428820642;2.76092673374;3;1;13;107;0
46477;Champ de Courses d'Enghien;SNCF;48.979447983;2.29247713155;4;6;13;107;0
47884;Fontenay-le-Fleury;SNCF;48.8072466121;2.04051920334;5;7;13;107;0
43123;Fontaine-le-Port;SNCF;48.4872228755;2.75115365838;6;1;13;107;0
46975;Issou - Porcheville;SNCF;48.9792922476;1.78397340775;7;0;13;107;0
43237;Le Vésinet - Le Pecq;RATP;48.897973449;2.12211744606;0;2;13;123;0
47883;Chaville - Vélizy;SNCF;48.7997288262;2.18368410848;1;0;13;107;0
45812;Ponthierry - Pringy;SNCF;48.5351397661;2.54434895173;2;3;13;107;0
47181;Provins;SNCF;48.5555915569;3.3028712226;3;2;13;107;0
47963;Vaucelles;SNCF;49.0217739562;2.22937648839;4;5;13;107;0
46857;Beynes;SNCF;48.8599987313;1.87559559028;5;3;13;107;0
47940;Massy - Verrières;RATP/SNCF;48.7347165868;2.2734834644;6;5;13;107;0
43188;Sainte-Geneviève-des-Bois;SNCF;48.6528113996;2.31273624701;7;0;13;107;0
48489;Orangis - Bois de l'Épine;SNCF;48.636351368;2.40779628345;0;7;13;107;0
43094;Boissy-Saint-Léger;RATP;48.7521857217;2.50455983697;1;3;13;107;0
43202;Saint-Michel-sur-Orge;SNCF;48.6358758658;2.30683316396;2;7;13;107;0
43159;Marolles-en-Hurepoix;SNCF;48.5655938619;2.29092446986;3;7;13;107;0
46552;Nogent - Le Perreux;SNCF;48.8393419419;2.49418805532;4;5;13;107;0
47059;Longjumeau;SNCF;48.7022393878;2.29455774648;5;7;13;107;0
43080;Étampes;SNCF;48.4369239376;2.15953058757;6;5;13;107;0
58873;Brunoy;SNCF;48.6997324357;2.50607815319;7;5;13;107;0
42587;Châtelet (Pont au Change);RATP;48.8580618623;2.34762515572;0;3;13;107;0
44055;Mairie des Lilas;RATP;48.879761254;2.41647964367;1;4;13;107;0
42311;Belleville;RATP;48.8719936918;2.3770297767;2;4;13;107;0
42265;Avenue Émile-Zola;RATP;48.8470195819;2.29542047803;3;4;13;107;0
43493;Jussieu;RATP;48.8461511231;2.3549179837;4;3;13;107;0
42751;Convention;RATP;48.8373074919;2.29663033782;5;7;13;107;0
59379;Mabillon;RATP;48.853016767;2.33550205038;6;1;13;107;0
44580;Pyrénées;RATP;48.8738818542;2.3853162151;7;2;13;107;0
42410;Buzenval;RATP;48.851812133;2.40102227052;0;3;13;107;0
43128;Gargan;SNCF;48.9081654152;2.5170254953;1;7;13;107;0
44583;Quai de La Rapée;RATP;48.8465154069;2.36587346665;2;5;13;107;0
45056;Villiers;RATP;48.8811500285;2.31517662622;3;6;13;107;0
44095;Marché de Saint-Denis;RATP;48.9386164837;2.3561784586;4;1;13;107;0
44479;Pont de Neuilly (Avenue de Madrid);RATP;48.8847082013;2.26051507789;5;7;13;107;0
415851;Hôtel de Ville;RATP;48.8575515533;2.35129220933;6;4;13;107;0
44125;Maurice Lachâtre;RATP;48.9191790277;2.41383718232;7;2;13;107;0
42387;Brancion;RATP;48.8286719399;2.30085182621;0;3;13;107;0
46100;La Courneuve – Six Routes;RATP;48.9299710262;2.38475886144;1;0;13;107;0
52382;La Ferme;RATP;48.9096663654;2.43748780358;2;5;13;107;0
47936;L'Abbaye;SNCF;48.9219261433;2.51644353517;3;6;13;107;0
42271;Avron;RATP;48.8515102782;2.39830234427;4;1;13;107;0
44236;Palais Royal - Musée du Louvre;RATP;48.8625955368;2.33668417;5;1;13;107;0
42344;Bobigny - Pantin - Raymond Queneau;RATP;48.8954546731;2.42532689153;6;1;13;107;0
47130;Moret - Veneux-les-Sablons;SNCF;48.3785349151;2.79888307957;7;2;13;107;0
42288;Bastille;RATP;48.8534369623;2.36873657263;0;3;13;107;0
411375;Mareuil-sur-Ourcq;SNCF;49.1354741446;3.07562656432;1;2;13;102;0
45739;Juvisy;SNCF;48.6894902048;2.3830198083;2;0;13;107;0
44641;Richard-Lenoir;RATP;48.8598736217;2.37191397876;3;1;13;107;0
44951;Parc de stationnement PR (Terminal 3 - Roissypole);Transdev;49.008978461;2.54483189792;4;3;13;64;0
45581;Laumière;RATP;48.885216183;2.37966308156;5;0;13;107;0
44227;Ourcq;RATP;48.8871348691;2.38696001714;6;3;13;107;0
46847;Villiers - Neauphle - Pontchartrain;SNCF;48.8153286196;1.87750420433;7;6;13;107;0
43147;La Verrière;SNCF;48.7553892687;1.9438351997;0;3;13;107;0
46850;Montfort-l'Amaury - Méré;SNCF;48.80260198;1.81646679422;1;7;13;107;0
43220;Versailles-Château-Rive-Gauche;SNCF;48.8002155781;2.12904386737;2;4;13;107;0
46884;Mareil-sur-Mauldre;SNCF;48.8932385975;1.87173847431;3;5;13;107;0
43209;Trappes;SNCF;48.7748028107;2.00656687176;4;3;13;107;0
43119;Deuil - Montmagny;SNCF;48.9760542531;2.33852407065;5;4;13;107;0
47920;Ermont-Halte;SNCF;48.9906512533;2.26318262145;6;2;13;107;0
43183;Porchefontaine;SNCF;48.7965281811;2.15237865481;7;5;13;107;0
47118;Souppes - Château-Landon;SNCF;48.1809368558;2.73624984291;0;7;13;107;0
46689;Viroflay-Rive-Droite;SNCF;48.8054930338;2.16852039696;1;4;13;107;0
47880;La Celle-Saint-Cloud;SNCF;48.8427199561;2.13812505739;2;6;13;107;0
47937;L'Étang-la-Ville;SNCF;48.8680644232;2.07671910268;3;6;13;107;0
